date ,stream,variable,value
2017-01-03,QPA,DOC,1.15
2017-01-10,QPA,DOC,0.86
2017-01-17,QPA,DOC,3.15
2017-01-24,QPA,DOC,0.74
2017-01-31,QPA,DOC,1.01
2017-02-07,QPA,DOC,3.14
2017-02-14,QPA,DOC,1.14
2017-02-21,QPA,DOC,1.53
2017-02-28,QPA,DOC,0.97
2017-03-07,QPA,DOC,2.58
2017-03-14,QPA,DOC,0.9
2017-03-21,QPA,DOC,1.16
2017-03-28,QPA,DOC,0.94
2017-04-04,QPA,DOC,1.02
2017-04-11,QPA,DOC,1.09
2017-04-18,QPA,DOC,2.62
2017-04-25,QPA,DOC,1.15
2017-05-02,QPA,DOC,1.24
2017-05-09,QPA,DOC,0.96
2017-05-16,QPA,DOC,1.33
2017-05-23,QPA,DOC,1.05
2017-05-30,QPA,DOC,1.79
2017-06-06,QPA,DOC,0.95
2017-06-13,QPA,DOC,0.77
2017-06-20,QPA,DOC,1.79
2017-06-27,QPA,DOC,1.64
2017-07-03,QPA,DOC,1.31
2017-07-11,QPA,DOC,0.97
2017-07-18,QPA,DOC,1.26
2017-07-25,QPA,DOC,1.28
2017-08-01,QPA,DOC,2.61
2017-08-08,QPA,DOC,1.35
2017-08-15,QPA,DOC,2.38
2017-08-22,QPA,DOC,0.92
2017-08-29,QPA,DOC,1
2017-09-05,QPA,DOC,0.93
2017-09-12,QPA,DOC,1.13
2017-09-18,QPA,DOC,0.76
2017-09-26,QPA,DOC,0.55
2017-10-03,QPA,DOC,1.01
2017-10-10,QPA,DOC,1.35
2017-10-17,QPA,DOC,NA
2017-10-24,QPA,DOC,0.99
2017-10-31,QPA,DOC,1.39
2017-11-07,QPA,DOC,1.99
2017-11-14,QPA,DOC,1.41
2017-11-21,QPA,DOC,1.03
2017-11-28,QPA,DOC,0.76
2017-12-05,QPA,DOC,2.55
2017-12-12,QPA,DOC,1.96
2017-12-19,QPA,DOC,5.6
2017-12-26,QPA,DOC,NA
2018-01-02,QPA,DOC,1.26
2018-01-09,QPA,DOC,1.74
2018-01-16,QPA,DOC,1.67
2018-01-23,QPA,DOC,1.06
2018-01-30,QPA,DOC,0.92
2018-02-06,QPA,DOC,1.31
2018-02-13,QPA,DOC,1.9
2018-02-20,QPA,DOC,2.99
2018-02-27,QPA,DOC,1.12
2018-03-06,QPA,DOC,0.69
2018-03-13,QPA,DOC,0.98
2018-03-20,QPA,DOC,0.92
2018-03-27,QPA,DOC,1.02
2018-04-03,QPA,DOC,2.07
2018-04-10,QPA,DOC,1.09
2018-04-17,QPA,DOC,2.86
2018-04-24,QPA,DOC,1.49
2018-05-01,QPA,DOC,0.94
2018-05-08,QPA,DOC,1.74
2018-05-15,QPA,DOC,1.95
2018-05-22,QPA,DOC,1.29
2018-05-29,QPA,DOC,1.45
2018-06-05,QPA,DOC,1.27
2018-06-12,QPA,DOC,3.8
2018-06-19,QPA,DOC,0.81
2018-06-26,QPA,DOC,1.16
2018-07-03,QPA,DOC,1
2018-07-10,QPA,DOC,NA
2018-07-17,QPA,DOC,NA
2018-07-24,QPA,DOC,NA
2018-07-31,QPA,DOC,1.76
2018-08-07,QPA,DOC,1.82
2018-08-14,QPA,DOC,1.82
2018-08-21,QPA,DOC,1.43
2018-08-28,QPA,DOC,2.68
2018-09-04,QPA,DOC,NA
2018-09-11,QPA,DOC,0.12
2018-09-18,QPA,DOC,0.23
2018-09-25,QPA,DOC,3.02
2018-10-02,QPA,DOC,1.01
2018-10-09,QPA,DOC,NA
2018-10-16,QPA,DOC,2.27
2018-10-23,QPA,DOC,1.68
2018-10-30,QPA,DOC,0.91
2018-11-06,QPA,DOC,1.63
