date,Abundance,SE
2009-08-01,2858.546,
2009-09-01,1257.367,
2009-10-01,982.318,
2009-11-01,589.391,
2009-12-01,1060.904,
2010-01-01,383.104,
2010-01-01,2131.631,
2010-03-01,677.8,
2010-04-01,1170.4875,527.5919894
2010-05-01,1337.7,711.5939136
2010-06-01,893.91,
2010-07-01,697.446,
2010-08-01,1198.428,
2010-10-01,199.063,112.888
2010-12-01,629.038,262.441
2011-02-01,7.963,7.963
2011-04-01,127.4,85.264
2011-06-01,23.888,23.888
2011-08-01,350.35,159.78
2011-11-01,55.738,23.888
2012-02-01,7.963,7.963
2012-05-01,199.063,75.118
2012-08-01,135.363,76.235
2012-10-01,119.438,20.039
2013-02-01,199.063,96.759
2013-05-01,143.325,20.559
2013-08-01,772.363,241.646
2014-02-01,788.288,366.246
2014-05-01,310.538,71.663
2014-09-01,167.213,104.326
2014-12-01,2492.263,1646.031
2015-02-01,2340.975,1016.085
2015-06-01,8464.138,7407.52
2015-07-01,9467.413,8333.634
2015-09-01,629.038,411.259
2015-11-01,2118.025,1570.442
2016-10-01,732.55,190.8470548
2016-11-01,1194.375,807.6189119
2016-12-01,859.95,286.428734
2017-01-01,1263.383333,512.6871767
2017-02-01,2059.633333,1225.643473
2017-03-01,886.4916667,507.8996024
2017-04-01,663.5416667,456.6246723
2017-05-01,414.05,130.8049164
2017-06-01,1788.908333,506.3660319
2017-07-01,732.55,174.8368706
2017-08-01,966.1166667,410.9898023
2017-09-01,132.7083333,42.26713541
2017-10-01,1661.508333,683.8691036
2017-11-01,2266.658333,1220.078586
2017-12-01,7256.491667,4097.148286
2018-01-01,233.5666667,92.18788574
2018-02-01,923.65,325.6393179
2018-03-01,6104.583333,3694.725079
2018-04-01,833.4083333,432.6926666
2018-05-01,228.2583333,50.30328587
2018-06-01,498.9833333,162.9580522
2018-07-01,376.8916667,90.98799226
2018-08-01,1072.283333,562.5030214
2018-09-01,849.3333333,270.4646624
2018-10-01,716.625,166.6681417
2018-11-01,339.7333333,112.6567912
2018-12-01,514.9083333,196.2360957
2019-01-01,1343.008333,156.7711801
2019-02-01,1380.166667,318.5707699
2019-03-01,424.6666667,88.82540615
2019-04-01,833.4083333,237.1227212
2019-05-01,690.0833333,176.5050767
2019-06-01,514.9083333,145.3553109
2019-07-01,997.9666667,240.2746587
2019-08-01,132.7083333,37.15833333
