,observation,stream,year,Month,day,mean,sd,date
1,1,QPA,2016,October,1,8.936227472,5.324184759,10/1/2016
2,2,QPA,2016,November,1,4.067451377,3.741633489,11/1/2016
3,3,QPA,2016,December,1,5.067897587,4.158471748,12/1/2016
4,4,QPA,2017,January,1,7.032009794,5.456109638,1/1/2017
5,5,QPA,2017,February,1,9.812532169,7.652800214,2/1/2017
6,6,QPA,2017,March,1,2.484267966,1.90811519,3/1/2017
7,7,QPA,2017,April,1,4.957549998,3.814837109,4/1/2017
8,8,QPA,2017,May,1,6.552977624,5.140687647,5/1/2017
9,9,QPA,2017,June,1,9.582187572,7.020623098,6/1/2017
10,10,QPA,2017,July,1,7.032796185,4.223000504,7/1/2017
11,11,QPA,2017,August,1,4.546525805,4.216356555,8/1/2017
12,12,QPA,2017,September,1,5.553768638,5.372335179,9/1/2017
13,13,QPA,2017,October,1,5.144265952,3.398664523,10/1/2017
14,14,QPA,2017,November,1,5.117236782,4.272171235,11/1/2017
15,15,QPA,2017,December,1,5.964272037,5.880457417,12/1/2017
16,16,QPA,2018,January,1,7.894789003,4.928155035,1/1/2018
17,17,QPA,2018,February,1,10.18670324,5.448251198,2/1/2018
18,18,QPA,2018,March,1,9.295390625,5.724116517,3/1/2018
19,19,QPA,2018,April,1,16.36674635,13.47164566,4/1/2018
20,20,QPA,2018,May,1,6.434987245,4.57465549,5/1/2018
21,21,QPA,2018,June,1,9.541483396,5.328285027,6/1/2018
22,22,QPA,2018,July,1,12.39956431,9.409797588,7/1/2018
23,23,QPA,2018,August,1,13.21639899,9.034119674,8/1/2018
24,24,QPA,2018,September,1,6.435415903,5.071283739,9/1/2018
25,25,QPA,2018,October,1,7.784264536,4.770113412,10/1/2018
26,26,QPA,2018,November,1,9.691148006,4.886093836,11/1/2018
27,27,QPA,2018,December,1,8.512643382,4.067277755,12/1/2018
28,28,QPA,2019,January,1,7.173658424,4.243646691,1/1/2019
29,29,QPA,2019,February,1,7.343443937,4.648955357,2/1/2019
30,30,QPA,2019,March,1,9.777592598,7.260428298,3/1/2019
31,31,QPA,2019,April,1,9.424508965,8.009511139,4/1/2019
32,32,QPA,2019,May,1,14.72697466,12.31741786,5/1/2019
33,33,QPA,2019,June,1,10.72085351,7.101940124,6/1/2019
34,34,QPA,2019,July,1,8.263583807,5.845568003,7/1/2019
35,35,QPA,2019,August,1,7.065278103,6.331506849,8/1/2019
36,36,QPA,2019,September,1,9.264755624,5.654783687,9/1/2019
37,37,QPA,2019,October,1,8.951787799,7.344067702,10/1/2019
38,38,QPA,2019,November,1,7.479648572,5.152263877,11/1/2019
39,39,QPA,2019,December,1,5.039899957,4.018006378,12/1/2019
40,40,QPA,2020,January,1,6.525155145,5.892632457,1/1/2020
41,41,QPA,2020,February,1,4.6117092,4.736971066,2/1/2020
42,42,QPA,2020,March,1,5.989209968,4.567847302,3/1/2020
43,43,QPA,2020,April,1,7.219783272,8.956085143,4/1/2020
44,44,QPA,2020,May,1,8.257636767,5.982281607,5/1/2020
45,45,QPA,2020,June,1,9.781615784,7.897089237,6/1/2020
46,46,QPA,2020,July,1,7.365950425,7.761522339,7/1/2020
47,47,QPA,2020,August,1,8.977647896,6.637437013,8/1/2020
48,48,QPA,2020,September,1,13.33001289,9.434801449,9/1/2020
